id,title,date,year,period,period_norm,creator,country,country_pt,medium,medium_norm,support,source_archive,url,thumbnail_url,description,citation_abnt,motif_str,tags_str,in_scope,scope_note,desincorporacao,rigidez_postural,dessexualizacao,uniformizacao_facial,heraldizacao,enquadramento_arquitetonico,apagamento_narrativo,monocromatizacao,serialidade,inscricao_estatal,purificacao_composto,regime_iconocratico,coded_by,coded_at,notes
DE-007,Allegorie der Justitia und eine weitere weibliche Allegorie,1501–1550,1501,Renaissance,Renascimento/Moderno Inicial,Unknown (Italian),Italy,Itália,Drawing/Print,Gravura/Estampe,estampa,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj08108743,https://www.bildindex.de/document/obj08108743?part=0&medium=bh_gern_024858_post,"Italian drawing or print showing Justitia alongside another female allegorical figure. Early 16th-century example of the pairing of Justice with other virtues (Prudence, Temperance, Fortitude) — the four cardinal virtues personified as women.","ALLEGORIE der Justitia und eine weitere weibliche Allegorie. 1501–1550. 1 desenho/gravura. Museo Civico, Bassano del Grappa. Disponível em: https://www.bildindex.de/document/obj08108743.","Justitia, Justice, cardinal virtues, Prudence","Justitia, cardinal virtues, Renaissance, Italian, drawing, Prudence",False,Renaissance Italian Justitia — cardinal virtues pair,1,1,1,1,1,0,1,3,1,0,1.0,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-008,"Justitia (Hameln, Stiftsherrenhaus)",c. 1558,1558,Renaissance,Renascimento/Moderno Inicial,Unknown,Germany,Alemanha,Sculpture (architectural),Outro,monumento,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj20608421,https://www.bildindex.de/document/obj20608421?part=0&medium=mi11300c09,"Justitia figure on the Stiftsherrenhaus (Canon's House) in Hamelin, c. 1558. A Weser Renaissance example of Justice as architectural ornament on a residential/ecclesiastical building.","JUSTITIA (Stiftsherrenhaus, Hameln). c. 1558. 1 escultura arquitetônica. Hameln, Osterstraße 8. Disponível em: https://www.bildindex.de/document/obj20608421.","Justitia, Justice, Weser Renaissance","Justitia, Weser Renaissance, architectural sculpture, Hameln, civic building",True,,2,2,2,2,1,3,2,2,0,1,1.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-009,Relief: Gerechtigkeit und Eintracht (Bremen Rathaus),1596–1605,1596,Renaissance,Renascimento/Moderno Inicial,Unknown,Germany,Alemanha,Relief sculpture,Outro,monumento,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj20459153,https://www.bildindex.de/document/obj20459153?part=0&medium=mi04250a11,Relief of Justice (Gerechtigkeit) and Concord (Eintracht) on the Bremen Old Town Hall (1596–1605). Female Justice paired with female Concord on a civic building — the visual argument that justice produces social harmony.,"RELIEF: Gerechtigkeit und Eintracht. 1596–1605. 1 relevo. Altes Rathaus, Bremen. Disponível em: https://www.bildindex.de/document/obj20459153.","Justitia, Justice, Concordia, civic virtue","Justitia, Concordia, relief, civic virtue, Bremen, town hall, Renaissance",True,,2,2,2,2,1,3,1,2,0,2,1.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-010,Allegorie der Jus Civile (Christian Wenzinger),1752,1752,Baroque,Barroco/Rococó,Christian Wenzinger,Germany,Alemanha,Sculpture,Outro,monumento,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj20677105,https://www.bildindex.de/document/obj20677105?part=0&medium=mi08920i01,"Allegory of Civil Law (Jus Civile) by Christian Wenzinger, 1752, at a former Benedictine abbey. Distinction between civil and canonical law personified — Justice in her specifically secular legal form within an ecclesiastical setting.","WENZINGER, Christian. Allegorie der Jus Civile. 1752. 1 escultura. Sankt Peter, Benedictine Abbey. Disponível em: https://www.bildindex.de/document/obj20677105.","Justitia, Jus Civile, civil law","Justitia, civil law, Baroque, Benedictine, ecclesiastical, secular law",True,,1,1,2,1,1,2,2,2,0,1,1.3,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-011,"Kamin mit Justitia (Leipzig, Altes Rathaus)",c. 1610,1610,Early Modern,Renascimento/Moderno Inicial,Unknown,Germany,Alemanha,Fireplace decoration,Outro,monumento,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj30143134,https://www.bildindex.de/document/obj30143134?part=0&medium=mi12335e10,Fireplace with Justitia in the Leipzig Old Town Hall (c. 1610). Justice as a decorative element on a fireplace in the main council chamber — the warming presence of legal authority in the deliberative space.,"KAMIN mit Justitia (Leipzig, Altes Rathaus). c. 1610. 1 decoração de lareira. Altes Rathaus, Leipzig. Disponível em: https://www.bildindex.de/document/obj30143134.","Justitia, Justice, civic interior","Justitia, fireplace, civic interior, Leipzig, town hall, Early Modern",True,,2,2,2,2,1,3,2,2,0,2,1.8,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-012,Gerechtigkeit (Allegory of Justice) by Lucas Cranach the Elder,1537,1537,Renaissance,Renascimento/Moderno Inicial,Lucas Cranach the Elder,Germany,Alemanha,Oil on panel (72 × 49.6 cm),Pintura/Desenho,pintura,Cranach Digital Archive,https://lucascranach.org/en/PRIVATE_NONE-P457/,https://commons.wikimedia.org/wiki/File:Gerechtigkeit-1537.jpg,"Painting showing the personification of Justice as a half-length nude female figure against dark background, holding sword and scales. Inscribed 'GERECHTIGKAEIT'. One of the most influential Renaissance depictions — Cranach's eroticized Justice figure set a visual template that persisted for centuries. Northern Renaissance.","CRANACH, Lucas, o Velho. Gerechtigkeit. 1537. 1 pintura, óleo sobre painel, 72 × 49,6 cm. Coleção particular. Disponível em: https://lucascranach.org/en/PRIVATE_NONE-P457/.","Justitia, Justice, nude allegory, sword, scales","Justitia, Cranach, Renaissance, nude, painting, sword, scales, Northern Renaissance",True,,0,1,0,0,0,0,2,0,0,0,0.3,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-013,Germania,1914,1914,Primeira Guerra Mundial (1914),Séc. XX,Friedrich August von Kaulbach,Germany,Alemanha,oil on canvas,pintura,pintura,DHM / Lebendiges Museum Online (LeMO),https://www.dhm.de/lemo/bestand/objekt/gemaelde-friedrich-august-von-kaulbach-germania-1914,,"Personificação da Alemanha como mulher guerreira (Germania), pintada por Friedrich August von Kaulbach em agosto de 1914, no início da Primeira Guerra Mundial. A figura feminina erguida aparece com coroa imperial de estilo otoniano, espada desembainhada, escudo heráldico e couraça feminina, em fundo noturno com horizonte em chamas. Kaulbach representa a Alemanha em postura defensiva e bélica, simbolizando a nação armada e pronta para o combate. A obra foi encomendada como resposta visual ao clima de mobilização nacional alemã de agosto de 1914, funcionando como propaganda patriótica de alto refinamento artístico.","KAULBACH, Friedrich August von. Germania. 1914. 1 pintura (óleo sobre tela). Berlim: Deutsches Historisches Museum. Disponível em: https://www.dhm.de/lemo/bestand/objekt/gemaelde-friedrich-august-von-kaulbach-germania-1914. Acesso em: 28 mar. 2026.","alegoria nacional feminina, Germania, guerra, Primeira Guerra Mundial, identidade nacional","alegoria nacional, Germania, Primeira Guerra Mundial, pintura, arte alemã, feminino, militarismo, propaganda",True,,1,2,2,2,1,0,2,0,2,3,1.5,normativo,iconocode-opus,2026-03-31T23:00:00Z,
DE-014,Helft uns siegen! Zeichnet die Kriegsanleihe,ca. 1917,1917,Kaiserreich / WWI (1914-1918),Kaiserreich / WWI (1914-1918),Fritz Erler,Germany,Alemanha,Affiche lithographique en couleur,Cartaz,cartaz,,https://www.loc.gov/item/2004665855/,,Um dos cartazes de empréstimo de guerra alemães mais icônicos. Parte da série Kriegsanleihe que financiou o esforço bélico alemão. A campanha empregou sistematicamente figuras alegóricas femininas da Vitória e da Pátria.,,"Kriegsanleihe, mobilização","corpus/candidato, pais/DE, suporte/cartaz, regime/militar",True,,2,2,2,2,2,1,1,1,2,2,1.7,militar,iconocode-opus-4.6-metadata-refined,2026-04-07,
DE-015,Germania — Guter Rat ist teuer (Bismarck e Alsácia-Lorena),c. 1871,1871,Unificação Alemã (1871),Unificação Alemã (1871),Wilhelm Scholz,Germany,Alemanha,Litografia (gravura satírica),Gravura/Estampe,gravura/litografia,,https://germanhistorydocs.ghi-dc.org/sub_image.cfm?image_id=1408,,Cartoon satírico do Kladderadatsch: Bismarck conduz as figuras femininas alegóricas de Alsácia e Lorena — jovens em trajes regionais — para o Império Alemão. Germania preside a absorção territorial.,,"Germania, anexação, Alsácia-Lorena","corpus/candidato, pais/DE, suporte/estampa, regime/contra-alegoria",True,,0,1,1,0,1,0,0,2,2,1,0.8,contra-alegoria,iconocode-opus-4.6-metadata-refined,2026-04-07,
DE-1000M-1910,1000 Mark Reichsbanknote — allegorical figures,1910,1910,1910,1910,,Germany,Alemanha,Papel-moeda,Papel-moeda,papel-moeda,Numista,https://en.numista.com/catalogue/note203637.html,,Germania / Navigation / Agriculture,,Germania / Navigation / Agriculture,"corpus/candidato, pais/DE, suporte/papel-moeda, regime/normativo, motivo/germania, #verificar",True,,,,,,,,,,,,,,,,
DE-100M-1908,100 Mark Reichsbanknote — Germania seated (green seals),1908,1908,1908,1908,,Germany,Alemanha,Papel-moeda,Papel-moeda,papel-moeda,Numista,https://en.numista.com/catalogue/note203616.html,,Germania,,Germania,"corpus/candidato, pais/DE, suporte/papel-moeda, regime/normativo, motivo/germania, #sem-iiif",True,,,,,,,,,,,,,,,,
DE-50M-1919,50 Mark Reichsbanknote (24 Jun. 1919) — última cédula imperial / primeira Weimar,1919,1919,1919,1919,,Germany,Alemanha,Papel-moeda,Papel-moeda,papel-moeda,Numista,https://en.numista.com/catalogue/note202186.html,,Allegorical female figure (transitional),,Allegorical female figure (transitional),"corpus/candidato, pais/DE, suporte/papel-moeda, regime/fundacional, motivo/germania, #verificar",True,,,,,,,,,,,,,,,,
DE-NOTG-1921,Notgeld Bielefeld — Jungbrunnen (Fountain of Youth) silk note,1921,1921,Weimar Republic (1919-1933),,Karl Muggly,Germany,,"Paper money (Notgeld, silk/linen)",,papel-moeda,British Museum / UChicago Special Collections,,,,,,,True,,0,0,0,1,0,0,0,0,3,2,0.6,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-NOTGELD-1921,Notgeld Bielefeld — Jungbrunnen (Fountain of Youth) silk note 1921,,,,,,Germany,Alemanha,Papel-moeda,Papel-moeda,papel-moeda,British Museum,,,,,,"corpus/candidato, pais/DE, suporte/papel-moeda, regime/fundacional, #verificar, #verificar-imagem",True,,,,,,,,,,,,,,,,
DE-WR-1919-50M,50 Mark Reichsbanknote — Germania as Young Girl (Weimar 1919),1919,1919,Weimar Republic (1919-1933),,Reichsdruckerei,Germany,,"Paper money (banknote, P.66)",,papel-moeda,Numizon,https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/,,,,,,True,,2,2,2,2,2,2,2,2,3,3,2.2,normativo,iconocode-opus,2026-03-31T23:00:00Z,
DE-WR-1924-50PF,50 Reichspfennig — Woman Planting Oak Sapling (Weimar 1924),1924,1924,Weimar Republic (1919-1933),,Richard Martin Werner,Germany,,"Coin (aluminium-bronze, 23mm)",,moeda,Numista,https://en.numista.com/catalogue/pieces2546.html,,,,,,True,,2,1,2,3,2,2,1,3,3,3,2.2,normativo,iconocode-opus,2026-03-31T23:00:00Z,
DE-GERM-1900,Germania — Reichspost / Deutsches Reich Definitive Stamp (Paul Eduard Waldraff),1900-1922,1900,German Empire / Weimar (1900-1922),Kaiserreich / Weimar (1900-1922),"Paul Eduard Waldraff (designer), Anna Führing (model)",Germany,Alemanha,"Postage stamp (definitive series, multiple denominations)",stamp,selo,Wikipedia / Colnect,https://en.wikipedia.org/wiki/Germania_(stamp),,"Bust of Germania wearing octagonal imperial crown, holding sword and olive branch. Art Nouveau design personally chosen by Kaiser Wilhelm II. Model: actress Anna Führing. Longest-running German definitive series (22 years). NOT used in colonies (replaced by Yacht issue). Overprinted for occupied territories in WWI.","DEUTSCHE REICHSPOST. Germania. 1900-1922. Selo postal, série definitiva. Design: Paul Eduard Waldraff. Disponível em: https://en.wikipedia.org/wiki/Germania_(stamp). Acesso em: 01 abr. 2026.",Germania,"female allegory, Germania, imperial crown, sword",True,,3,3,3,2,3,2,3,3,4,3,2.9,militar,iconocode-opus,2026-04-01T14:00:00Z,
DE-GERM-BELG-1914,"Germania ""Belgien"" Overprint — Military Occupation Stamp (WWI)",1914-1918,1914,WWI Occupation (1914-1918),Ocupação WWI (1914-1918),Paul Eduard Waldraff (original design),Germany,Alemanha,Postage stamp (overprint on Germania series),stamp,selo,Colnect,https://colnect.com/en/stamps/stamp/320475-overprint_on_Germania-Belgium-Belgium_German_Occupation_in_WWI,,"Germania definitive stamp overprinted with ""Belgien"" and revalued in Centimes/Francs for use in German-occupied Belgium during WWI. Same image as DE-GERM-1900 but with additional state inscription marking occupation. First series October 1914, second series May 1916.","DEUTSCHE REICHSPOST. Germania — Overprint ""Belgien"". 1914-1918. Selo postal, overprint de ocupação. Disponível em: https://colnect.com/en/stamps/stamp/320475. Acesso em: 01 abr. 2026.",Germania,"female allegory, Germania, occupation, Belgien overprint",True,,3,3,3,2,3,2,3,3,3,4,2.9,militar,iconocode-opus,2026-04-01T14:00:00Z,
ES-001,[Alegoría de la República española y la República francesa],1931,1931,Second Republic (1931–1939),Séc. XX,Anônimo,Spain,Espanha,Desenho / Gravura,Gravura,estampa,Biblioteca Digital Hispánica (BNE),https://bdh.bne.es/bnesearch/detalle/76944,,"Allegorical drawing or print depicting the Spanish Republic and the French Republic as paired female figures. Produced in the context of the proclamation of the Second Spanish Republic (April 14, 1931), evoking the fraternal bond between the two republican nations. Part of the BNE's collection of drawings, engravings, and photographs relating to the Second Republic. The Spanish Republic figure wears the Phrygian cap and holds attributes of justice and liberty, mirroring the Marianne iconotype of France.","ALEGORÍA de la República española y la República francesa. 1931. 1 desenho/gravura. Biblioteca Nacional de España, Madrid. Disponível em: https://bdh.bne.es/bnesearch/detalle/76944.","República española, Marianne, Alegoria feminina, Espanha, França","female allegory, Spanish Republic, Marianne, Second Republic, España, Republican iconography, Spain France",False,Cross-national Contrato Sexual Visual: Marianne + Spanish Republic allegory,0,0,1,1,1,0,0,1,2,1,0.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
ES-002,Alegoría de la Primera República española (La Flaca),1873,1873,Primera República española (1873-1874),Séc. XIX,Tomás Padró i Pedret,Spain,Espanha,"lithography, printed in periodical",gravura/litografia,estampa,Hemeroteca Digital BNE,https://hemerotecadigital.bne.es/hd/es/card?sid=3971781,,"Ilustração satírica publicada na revista republicana La Flaca (Barcelona, 1869–1873), em período correspondente à Primeira República espanhola (fev. 1873 – dez. 1874). Tomás Padró i Pedret, ilustrador principal da publicação, representou a República española como figura feminina, frequentemente com barrete frígio, acompanhada de líderes políticos como Castelar, Pi y Margall, Figueras e Salmerón. La Flaca foi o principal veículo de iconografia republicana federal durante o Sexênio Democrático, e suas alegorias femininas da Espanha constituem corpus fundamental para a história da iconografia política espanhola oitocentista.","PADRÓ I PEDRET, Tomás. Alegoría de la Primera República española. La Flaca, Barcelona, 1873. 1 litografia. Madri: Biblioteca Nacional de España, Hemeroteca Digital. Disponível em: https://hemerotecadigital.bne.es/hd/es/card?sid=3971781. Acesso em: 28 mar. 2026.","alegoria nacional feminina, república, imprensa satírica, Espanha, constitucionalismo","alegoria nacional, república, satira política, imprensa oitocentista, barrete frígio, Espanha, feminino, constitucionalismo",False,"La Flaca — satirical counter-allegory, rare subversive case",0,0,1,0,0,0,0,0,2,0,0.3,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
ES-003,"5 Pesetas ""Hispania Reclinada"" — Gobierno Provisional",1870,1870,Revolução Gloriosa / Gobierno Provisional (1869-1870),Revolução Gloriosa / Gobierno Provisional (1869-1870),Gobierno Provisional de España,Spain,Espanha,"Moeda (prata .900, 25g, 37mm)",Moeda,moeda,,https://en.numista.com/6722,,"Hispania reclinada coroada com coroa mural, apoiada nos Pireneus com Gibraltar a seus pés, segurando ramo de oliveira. Mar e raios de sol ao fundo. Moeda fundacional da Espanha pós-monárquica, cunhada apenas durante o breve Gobierno Provisional.",,"Hispania, peseta fundacional","corpus/candidato, pais/ES, suporte/moeda, regime/fundacional, motivo/hispania",True,,0,1,1,1,2,3,0,3,3,3,1.7,fundacional,iconocode-opus-4.6-metadata-refined,2026-04-07,
ES-004,"1 Peseta ""Hispania Sentada"" — II República",1933,1933,II República Espanhola (1931-1939),II República Espanhola (1931-1939),José Eusebio Espinós Gisbert,Spain,Espanha,"Moeda (prata .835, 5g, 23mm)",Moeda,moeda,,https://en.numista.com/catalogue/pieces11169.html,,"Hispania sentada sobre plinto, segurando ramo de oliveira. Última peseta de prata jamais cunhada. A continuidade da pose sentada de 1870 a 1933 revela a *Nachleben* da mesma *Pathosformel* através de duas rupturas fundacionais distintas.",,"Hispania, Segunda República","corpus/candidato, pais/ES, suporte/moeda, regime/fundacional, motivo/hispania",True,,1,2,2,2,2,3,2,3,3,3,2.3,fundacional,iconocode-opus-4.6-metadata-refined,2026-04-07,
EU-001,Thronende Justitia / Allegorie der strafenden Gerechtigkeit,1943–1944 (photograph of earlier fresco),1943,18th century (fresco); 20th century (photograph),Iluminismo (Séc. XVIII),Januarius Zick (painter); Rudolf Schulze-Marburg (photographer),Germany,Alemanha,Photograph of ceiling fresco,Fotografia,fotografia,Europeana,https://www.europeana.eu/en/item/201/item_IBA5QWMUFFBZOLE2SPIJO5QD2SPIZS6S,https://proxy.europeana.eu/media/201/item_IBA5QWMUFFBZOLE2SPIJO5QD2SPIZS6S/60083dd530e50fba0723a5b8b09fd96d,"Photograph of a ceiling fresco in Koblenz showing Justitia enthroned — the allegorical female figure of criminal justice. A German example of Justice as a seated female sovereign figure, wielding punitive authority from a throne-like position.","ZICK, Januarius. Thronende Justitia / Allegorie der strafenden Gerechtigkeit. [séc. XVIII]. Fotografia de Schulze-Marburg, Rudolf, 1943-1944. Zentralinstitut für Kunstgeschichte. Disponível em: https://www.europeana.eu/en/item/201/item_IBA5QWMUFFBZOLE2SPIJO5QD2SPIZS6S.","Justitia, Trono, Gerechtigkeit, Fresco","Justitia, enthroned, criminal justice, ceiling fresco, Germany, Koblenz",True,,1,2,2,1,1,2,1,3,0,1,1.4,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-002,Time and Justice Reveal the Truth,Unknown,,Early Modern,Renascimento/Moderno Inicial,Johan Walker,Belgium,Bélgica,Image,Outro,estampa,Europeana,https://www.europeana.eu/en/item/2048001/AP_10342206,,"Allegorical depiction showing Time and Justice revealing Truth. Belgian example of the Justice-Truth triad where Justice is personified as a woman who, together with Time, unveils Truth — a visual argument for the transparency of law.","WALKER, Johan. Time and justice reveal the truth. [s.d.]. Royal Institute for Cultural Heritage. Disponível em: https://www.europeana.eu/en/item/2048001/AP_10342206.","Justice, Vérité, Temps, Allégorie féminine","Justice, Truth, Time, allegory, Belgium",True,,1,1,1,1,0,0,0,1,0,0,0.5,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-003,Justitia (Jacob Matham),c. 1600,1600,Early Modern (16th–17th century),Renascimento/Moderno Inicial,Jacob Matham,Germany (Netherlands origin),Alemanha,Print,Gravura/Estampe,estampa,Europeana,https://www.europeana.eu/en/item/89/item_ZCR4KC47OMJN7DRRDFTIWRQS33M7PBN2,,"Print depicting Justitia — the female allegorical figure of Justice with her traditional attributes (scales, sword). By Jacob Matham, a major Dutch engraver, student of Hendrick Goltzius.","MATHAM, Jacob. Justitia. c. 1600. 1 gravura. Herzog Anton Ulrich Museum. Disponível em: https://www.europeana.eu/en/item/89/item_ZCR4KC47OMJN7DRRDFTIWRQS33M7PBN2.","Justitia, Balança, Espada, Gravura","Justitia, scales, sword, print, Dutch Golden Age",False,"Jacob Matham — canonical Justitia iconography, Dutch/German circulation",1,1,1,1,1,1,2,3,1,0,1.2,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-004,Allegory of Justice (Charles Audran after B.P. Cortona),17th century,1650,Baroque,Barroco/Rococó,Charles Audran (after Pietro da Cortona),Italy,Itália,Print,Gravura/Estampe,estampa,Europeana,https://www.europeana.eu/en/item/446/RML0348941,,"Allegorical representation of Justice, engraved by Charles Audran after an invention by Pietro da Cortona (Berrettini). Italian Baroque model of Justice as a female figure — one of the visual templates that circulated across Europe and eventually reached the Americas.","AUDRAN, Charles. Allegory of Justice. [séc. XVII]. 1 gravura. Casanatense Library. Disponível em: https://www.europeana.eu/en/item/446/RML0348941.","Justice, Allégorie féminine, Baroque","Justice, allegory, Baroque, Italy, Cortona",False,"Renaissance Italian Justitia — art-historical roots, no state function",1,1,1,1,1,1,1,3,1,0,1.1,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-005,Justitia (Hans Kels d. J.),16th century,1550,Renaissance,Renascimento/Moderno Inicial,Hans Kels d. J.,Austria,Áustria,Gilded relief sculpture,Outro,monumento,Europeana,https://www.europeana.eu/en/item/15502/KK_6068,,Golden gilded relief sculpture depicting Justitia. A Renaissance example of the female allegorical figure of justice rendered in precious materials — connecting legal symbolism to material luxury and sovereign authority.,"KELS, Hans d. J. Justitia. [séc. XVI]. 1 relevo dourado. Kunsthistorisches Museum Wien. Disponível em: https://www.europeana.eu/en/item/15502/KK_6068.","Justitia, Relevo, Dourado, Renascimento","Justitia, relief, gilded, Renaissance, Vienna",False,"Austrian Renaissance Justitia — pre-modern, no republican context",1,2,2,2,1,2,2,2,0,1,1.5,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-006,"Justitia, Allegory of Justice (Johann Oswald Harms)",17th century,1650,Baroque,Barroco/Rococó,Johann Oswald Harms,Germany,Alemanha,Drawing,Pintura/Desenho,estampa,Europeana,https://www.europeana.eu/en/item/89/item_MH6IXNHWTECBQCNPU7IIMCFP2BDFAV76,,Drawing depicting Justitia — allegorical female figure of justice with scales and sword. German Baroque representation of the legal feminine allegory.,"HARMS, Johann Oswald. Justitia, allegory of justice. [séc. XVII]. 1 desenho. Herzog Anton Ulrich Museum. Disponível em: https://www.europeana.eu/en/item/89/item_MH6IXNHWTECBQCNPU7IIMCFP2BDFAV76.","Justitia, Balança, Espada, Desenho","Justitia, scales, sword, drawing, Baroque, Germany",True,,1,1,1,1,1,0,2,3,0,0,1.0,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-007,Justitia civilis (Maarten de Vos),16th century,1550,Renaissance / Early Modern,Renascimento/Moderno Inicial,Maarten de Vos,Belgium,Bélgica,Image,Outro,estampa,Europeana,https://www.europeana.eu/en/item/2048001/AP_10133590,,Allegorical depiction of civil justice (Justitia civilis) by Flemish master Maarten de Vos. Distinction between civil and criminal justice personified as separate female figures — important for understanding the multiplication of legal feminine allegories.,"VOS, Maarten de. Justitia civilis. [séc. XVI]. Royal Institute for Cultural Heritage. Disponível em: https://www.europeana.eu/en/item/2048001/AP_10133590.","Justitia civilis, Justice civile, Allégorie féminine","civil justice, Justitia civilis, Flemish art, Belgium, female allegory",True,,1,1,1,1,1,0,1,1,1,0,0.8,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-008,"Allegory with Justizia, crowned by a putto",18th century,1750,Baroque / Rococo,Barroco/Rococó,Kaspar Waldmann,Austria,Áustria,Drawing,Pintura/Desenho,estampa,Europeana,https://www.europeana.eu/en/item/15508/30435,,"Allegorical representation of Justizia resting on clouds, being crowned by a putto (cherub), with scales visible. Justice as a celestial female figure receiving divine coronation — the theological dimension of legal allegory.","WALDMANN, Kaspar. Allegory with Justizia, resting on a cloudbank, crowned by a putto. [séc. XVIII]. 1 desenho. Albertina Museum. Disponível em: https://www.europeana.eu/en/item/15508/30435.","Justitia, Putto, Coroa, Nuvem, Balança","Justitia, crowned, putto, celestial, scales, Austria",False,"Austrian Baroque Justitia — pre-modern, no republican context",1,1,1,1,0,0,0,3,0,0,0.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
EU-009,Female Allegory (Pierre Puvis de Chavannes),19th century,1850,Third Republic / Symbolism,III República / II Império (FR),Pierre Puvis de Chavannes,France (held in Austria),França,Drawing,Pintura/Desenho,estampa,Europeana,https://www.europeana.eu/en/item/15508/DG1918_7,,"Female allegorical figure by Pierre Puvis de Chavannes, the great French muralist whose public commissions (Sorbonne, Panthéon, Hôtel de Ville) defined the visual language of Third Republic civic spaces. This drawing connects to the larger programme of republican allegorical decoration.","PUVIS DE CHAVANNES, Pierre. Female allegory. [séc. XIX]. 1 desenho. Albertina Museum. Disponível em: https://www.europeana.eu/en/item/15508/DG1918_7.","Allégorie féminine, Symbolisme, Murale","female allegory, Symbolism, muralist, Third Republic, Puvis de Chavannes",False,"French artist (Puvis de Chavannes), held in Austria — actually FR",2,2,2,2,2,1,2,2,0,1,1.6,normativo,iconocode-opus,2026-03-31T23:00:00Z,
FR-001,"La Justice, la Vengeance et la Vérité",1865,1865,Second Empire (1852–1870),III República / II Império (FR),François-Nicolas Chifflart,France,França,Engraving (estampe),Gravura/Estampe,estampa,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b531737635,,"Engraving depicting three female allegorical figures: Justice, Vengeance, and Truth. A powerful composition showing Justice as a dominant female presence, flanked by Truth and divine Vengeance — key triad in French republican allegorical vocabulary.","CHIFFLART, François-Nicolas. La Justice, la Vengeance et la Vérité. 1865. 1 gravura. Bibliothèque nationale de France. Disponível em: https://gallica.bnf.fr/ark:/12148/btv1b531737635.","Justice, Vengeance, Vérité, Allégorie féminine","Justice, Truth, Vengeance, female allegory, engraving, Second Empire",True,,1,1,1,1,0,0,0,2,1,0,0.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
FR-002,Le triomphe de la Justice et de la Vérité,1865,1865,Second Empire (1852–1870),III República / II Império (FR),François-Nicolas Chifflart,France,França,Engraving (estampe),Gravura/Estampe,estampa,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b531737529,,Engraving showing the triumph of Justice and Truth as female allegorical figures. Complete state with full lettering. Part of Chifflart's series on juridical allegory.,"CHIFFLART, François-Nicolas. Le triomphe de la Justice et de la Vérité. 1865. 1 gravura. Bibliothèque nationale de France. Disponível em: https://gallica.bnf.fr/ark:/12148/btv1b531737529.","Justice, Vérité, Triomphe, Allégorie féminine","Justice, Truth, triumph, female allegory, engraving",True,,1,1,1,1,0,0,0,2,1,0,0.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
FR-003,L'envoyé de la Justice,1859,1859,Second Empire (1852–1870),III República / II Império (FR),François-Nicolas Chifflart,France,França,Engraving (estampe),Gravura/Estampe,estampa,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b53173732g,,Engraving titled 'The Envoy of Justice' — depicting a figure sent by Justice (as a female allegorical power). Early example in the series of Justice representations by Chifflart.,"CHIFFLART, François-Nicolas. L'envoyé de la Justice. 1859. 1 gravura. Bibliothèque nationale de France. Disponível em: https://gallica.bnf.fr/ark:/12148/btv1b53173732g.","Justice, Envoyé, Allégorie féminine","Justice, envoy, female allegory, engraving",True,,1,1,1,1,1,0,1,2,1,0,0.9,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
FR-004,Marianne enseignant l'alphabet à des enfants (naïades et Marianne),1859–1910,1859,Third Republic (1870–1940),III República / II Império (FR),Unknown,France,França,Engraving (estampe),Gravura/Estampe,estampa,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b10574064v,,Engravings depicting naiads and Marianne teaching the alphabet to children. Powerful image of the Republic-as-woman as educator — embodying the republican ideal of laïcité and public instruction through a female allegorical figure.,ESTAMPES représentant des naïades et Marianne enseignant l'alphabet à des enfants. [1859-1910]. Bibliothèque nationale de France. Disponível em: https://gallica.bnf.fr/ark:/12148/btv1b10574064v.,"Marianne, République, Éducation, Allégorie féminine","Marianne, Republic, education, female allegory, children, laïcité",True,,1,1,2,1,1,1,0,2,1,1,1.1,normativo,iconocode-opus,2026-03-31T23:00:00Z,
